currentMillis	ax	ay	az
0	 0.0	 0.0	 0.0
0	 0.0	 0.0	 0.0
0	 0.0	 0.0	 0.0
0	 0.0	 0.0	 0.0
0	 0.0	 0.0	 0.0
10006	 0.0	 0.0	 0.0
10016	 -0.02035061	 -0.010175305	 0.089782104
10027	 -0.02035061	 -0.010175305	 0.08499373
10037	 -0.018554969	 -0.010175305	 0.08439518
10047	 -0.016759327	 -0.0107738525	 0.082599536
10057	 -0.018554969	 -0.009576757	 0.08020534
10067	 -0.020949159	 -0.008379663	 0.0784097
10077	 -0.021547705	 -0.0059854737	 0.082599536
10087	 -0.018554969	 -0.0065840213	 0.0784097
10097	 -0.016759327	 -0.008379663	 0.07721261
10107	 -0.016759327	 -0.010175305	 0.07781116
10117	 -0.016759327	 -0.010175305	 0.07541697
10127	 -0.017357873	 -0.0107738525	 0.07541697
10137	 -0.016160779	 -0.00897821	 0.07242423
10147	 -0.016759327	 -0.009576757	 0.07541697
10157	 -0.016160779	 -0.008379663	 0.07661406
10167	 -0.017357873	 -0.009576757	 0.073022775
10177	 -0.019153515	 -0.0071825683	 0.07481842
10187	 -0.019153515	 -0.0047883787	 0.074219875
10198	 -0.019752063	 -0.0023941894	 0.07721261
10208	 -0.017357873	 -0.0011970947	 0.07721261
10218	 -0.015562232	 -0.0023941894	 0.0784097
10228	 -0.014963685	 -0.0053869262	 0.08020534
10238	 -0.015562232	 -0.0053869262	 0.082000986
10248	 -0.014963685	 -0.0053869262	 0.08080389
10258	 -0.018554969	 -0.0059854737	 0.07661406
10268	 -0.019752063	 -0.008379663	 0.07781116
10278	 -0.019752063	 -0.0113724	 0.07182568
10288	 -0.020949159	 -0.008379663	 0.073022775
10298	 -0.01795642	 -0.00897821	 0.07122713
10308	 -0.019752063	 -0.007781116	 0.07481842
10318	 -0.018554969	 -0.007781116	 0.07541697
10328	 -0.019153515	 -0.0065840213	 0.07242423
10338	 -0.02035061	 -0.0071825683	 0.07481842
10348	 -0.019153515	 -0.0071825683	 0.07481842
10358	 -0.016160779	 -0.008379663	 0.07601552
10368	 -0.016759327	 -0.007781116	 0.07900825
10378	 -0.017357873	 -0.0107738525	 0.0796068
10388	 -0.016160779	 -0.008379663	 0.0796068
10398	 -0.014365137	 -0.007781116	 0.07900825
10408	 -0.01376659	 -0.0065840213	 0.073022775
10418	 -0.01376659	 -0.0065840213	 0.07601552
10428	 -0.0119709475	 -0.009576757	 0.074219875
10438	 -0.01376659	 -0.012569495	 0.07781116
10448	 -0.0119709475	 -0.014365137	 0.08020534
10458	 -0.009576757	 -0.016160779	 0.08140244
10468	 -0.010175305	 -0.014963685	 0.08140244
10478	 -0.0113724	 -0.0119709475	 0.0796068
10488	 -0.01376659	 -0.00897821	 0.0796068
10498	 -0.015562232	 -0.008379663	 0.0784097
10508	 -0.015562232	 -0.0071825683	 0.0784097
10518	 -0.019153515	 -0.0071825683	 0.0784097
10528	 -0.01795642	 -0.0053869262	 0.0784097
10539	 -0.018554969	 -0.008379663	 0.083198085
10549	 -0.019752063	 -0.0065840213	 0.08858501
10559	 -0.020949159	 -0.0059854737	 0.08918356
10569	 -0.01795642	 -0.0035912842	 0.08619082
10579	 -0.01795642	 -0.0041898317	 0.08499373
10589	 -0.014365137	 -0.0035912842	 0.083796635
10599	 -0.014963685	 -0.0035912842	 0.08140244
10609	 -0.01376659	 -0.0047883787	 0.08020534
10619	 -0.01376659	 -0.0035912842	 0.082599536
10629	 -0.015562232	 -0.0053869262	 0.082599536
10639	 -0.017357873	 -0.0035912842	 0.08559228
10649	 -0.016160779	 -0.0053869262	 0.08559228
10659	 -0.016160779	 -0.0065840213	 0.08559228
10669	 -0.016759327	 -0.009576757	 0.08499373
10679	 -0.01376659	 -0.0107738525	 0.08798646
10689	 -0.0131680425	 -0.009576757	 0.083796635
10699	 -0.0119709475	 -0.00897821	 0.0784097
10710	 -0.0119709475	 -0.00897821	 0.07781116
10723	 -0.01795642	 -0.010175305	 0.082000986
10733	 -0.019153515	 -0.008379663	 0.07781116
10743	 -0.01795642	 -0.00897821	 0.0784097
10753	 -0.01795642	 -0.0107738525	 0.0784097
10763	 -0.01795642	 -0.007781116	 0.07900825
10773	 -0.017357873	 -0.008379663	 0.08020534
10783	 -0.01795642	 -0.0071825683	 0.07601552
10793	 -0.020949159	 -0.0113724	 0.0796068
10803	 -0.02035061	 -0.014365137	 0.083198085
10813	 -0.019752063	 -0.016160779	 0.083198085
10823	 -0.02035061	 -0.014365137	 0.083198085
10833	 -0.020949159	 -0.0119709475	 0.08140244
10843	 -0.022146253	 -0.009576757	 0.07900825
10853	 -0.022146253	 -0.0065840213	 0.08140244
10863	 -0.0227448	 -0.00897821	 0.08499373
10873	 -0.019153515	 -0.00897821	 0.083796635
10883	 -0.016759327	 -0.0113724	 0.08020534
10893	 -0.01795642	 -0.0119709475	 0.07721261
10903	 -0.019752063	 -0.0107738525	 0.08020534
10913	 -0.019752063	 -0.010175305	 0.074219875
10923	 -0.019153515	 -0.00897821	 0.07242423
10933	 -0.019752063	 -0.007781116	 0.07721261
10943	 -0.019153515	 -0.0047883787	 0.0784097
10953	 -0.02035061	 -0.0059854737	 0.0796068
10963	 -0.019752063	 -0.007781116	 0.0796068
10973	 -0.018554969	 -0.0059854737	 0.07900825
10983	 -0.019752063	 -0.0053869262	 0.0784097
10993	 -0.019153515	 -0.0041898317	 0.07661406
11003	 -0.018554969	 -0.0047883787	 0.07781116
11013	 -0.019153515	 -0.0071825683	 0.07541697
11023	 -0.017357873	 -0.0065840213	 0.07541697
11033	 -0.015562232	 -0.0065840213	 0.07541697
11043	 -0.017357873	 -0.007781116	 0.07721261
11053	 -0.017357873	 -0.009576757	 0.07781116
11063	 -0.019752063	 -0.009576757	 0.0796068
11073	 -0.0227448	 -0.009576757	 0.08140244
11083	 -0.020949159	 -0.012569495	 0.082000986
11094	 -0.019752063	 -0.0131680425	 0.082000986
11104	 -0.020949159	 -0.0119709475	 0.08140244
11114	 -0.022146253	 -0.0113724	 0.08140244
11124	 -0.022146253	 -0.009576757	 0.083796635
11134	 -0.022146253	 -0.010175305	 0.082599536
11144	 -0.02035061	 -0.007781116	 0.08439518
11154	 -0.019153515	 -0.0059854737	 0.083796635
11164	 -0.019153515	 -0.0059854737	 0.08020534
11174	 -0.017357873	 -0.0047883787	 0.08140244
11184	 -0.01376659	 -0.0065840213	 0.07900825
11194	 -0.015562232	 -0.009576757	 0.0784097
11204	 -0.014365137	 -0.00897821	 0.08080389
11214	 -0.014365137	 -0.010175305	 0.08439518
11224	 -0.015562232	 -0.00897821	 0.08499373
11234	 -0.014365137	 -0.0053869262	 0.082000986
11244	 -0.012569495	 -0.0065840213	 0.082000986
11254	 -0.012569495	 -0.00897821	 0.083796635
11264	 -0.01376659	 -0.008379663	 0.083796635
11274	 -0.016759327	 -0.009576757	 0.08080389
11284	 -0.016759327	 -0.010175305	 0.082000986
11294	 -0.01795642	 -0.0119709475	 0.082599536
11304	 -0.019153515	 -0.0107738525	 0.08439518
11314	 -0.019153515	 -0.00897821	 0.082000986
11324	 -0.019752063	 -0.008379663	 0.083796635
11334	 -0.019153515	 -0.00897821	 0.07900825
11344	 -0.016759327	 -0.007781116	 0.0784097
