Period, AX, AY, AZ
Period, AX, AY, AZ
Period, AX, AY, AZ
Period, AX, AY, AZ
Period, AX, AY, AZ
-30, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
31, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
10, 0, 0, 0
