currentMillis,ax,ay,az
0, 0.0, 0.0, 0.0
0, 0.0, 0.0, 0.0
0, 0.0, 0.0, 0.0
0, 0.0, 0.0, 0.0
0, 0.0, 0.0, 0.0
476, 0.0, 0.0, 0.0
486, -2.956824, -16.257744, 17.028673
496, 13.242262, -14.747608, -8.917757
506, -1.7639191, -17.889383, 6.902448
516, 6.008817, 1.3964111, 0.69072366
526, 13.888693, -1.876446, 10.414125
536, -10.265087, 3.1268115, -10.232167
546, 15.761548, 4.059947, 13.969497
556, 4.920059, 5.226516, 18.110846
566, -12.185826, 8.235414, 2.0123162
576, 0.26934633, 6.995223, 9.923317
586, 0.049679432, 4.013859, 7.6153183
596, 0.074219875, 4.2933803, 7.8092475
606, 0.07661406, 4.3101397, 7.797875
616, 0.07900825, 4.3286943, 7.7871013
626, 0.083796635, 4.3460526, 7.771539
636, 0.08499373, 4.362213, 7.7523856
646, 0.08798646, 4.379571, 7.7314363
656, 0.090380654, 4.3975277, 7.7086916
666, 0.09397194, 4.416681, 7.6889396
676, 0.09756322, 4.432842, 7.668589
686, 0.101154506, 4.448404, 7.6428514
696, 0.10414724, 4.4681563, 7.621902
706, 0.107738525, 4.481324, 7.594369
716, 0.11013272, 4.4938936, 7.56923
726, 0.11252691, 4.5112514, 7.542894
736, 0.117315285, 4.528011, 7.5165577
746, 0.12330076, 4.5453687, 7.4890246
756, 0.12689205, 4.5615296, 7.460893
766, 0.13048333, 4.5800843, 7.4339585
776, 0.13467316, 4.597442, 7.402834
786, 0.13886298, 4.613603, 7.3782935
796, 0.14185573, 4.629165, 7.3489647
806, 0.14544702, 4.646523, 7.3226285
816, 0.14963683, 4.661487, 7.2927012
826, 0.15262958, 4.677049, 7.263971
836, 0.15382667, 4.692611, 7.2358394
846, 0.15442522, 4.707575, 7.2089043
856, 0.15861505, 4.7213416, 7.1771817
866, 0.15861505, 4.7309184, 7.1484513
876, 0.16220634, 4.7488747, 7.1191225
886, 0.16699472, 4.765634, 7.0856037
896, 0.17238164, 4.7788024, 7.0580707
906, 0.17537437, 4.7925687, 7.0281434
916, 0.17776857, 4.8075323, 6.995223
926, 0.1819584, 4.821299, 6.961106
936, 0.19033806, 4.834467, 6.9287844
946, 0.19632354, 4.8476353, 6.896463
956, 0.19931628, 4.8596063, 6.86055
966, 0.20171046, 4.876964, 6.82763
979, 0.2059003, 4.8997087, 6.7659793
989, 0.20889303, 4.914074, 6.732461
999, 0.21308286, 4.926045, 6.698942
1009, 0.2172727, 4.943403, 6.667219
1019, 0.22026543, 4.9529796, 6.6337004
1029, 0.22385672, 4.963753, 6.6007805
1039, 0.2286451, 4.9745274, 6.568459
1049, 0.23223639, 4.987097, 6.532546
1059, 0.23403202, 4.999068, 6.500823
1069, 0.23403202, 5.009243, 6.4691
1079, 0.2376233, 5.018221, 6.433187
1089, 0.24061604, 5.030192, 6.3984714
1099, 0.24301024, 5.0391703, 6.3649526
1110, 0.24301024, 5.049944, 6.3338284
1120, 0.24660152, 5.060718, 6.2979155
1130, 0.25079134, 5.0714917, 6.2608056
1140, 0.25438264, 5.0810685, 6.2266884
1150, 0.26336083, 5.0888495, 6.1895785
1160, 0.26934633, 5.096631, 6.1548624
1170, 0.27233905, 5.108003, 6.1201468
1180, 0.2729376, 5.1193757, 6.085431
1190, 0.27473325, 5.12596, 6.0453286
1200, 0.27712744, 5.133142, 6.0082183
1210, 0.28012016, 5.1409235, 5.9699116
1220, 0.2807187, 5.147507, 5.9334
1230, 0.27892306, 5.153493, 5.8968887
1240, 0.28012016, 5.159478, 5.85918
1250, 0.2831129, 5.165464, 5.8232675
1260, 0.28490853, 5.1726465, 5.7855587
1270, 0.28790128, 5.1804276, 5.745456
1280, 0.29388675, 5.1870117, 5.712536
1290, 0.2980766, 5.1935954, 5.678419
1300, 0.30106932, 5.2001796, 5.6454988
1310, 0.30466062, 5.2043695, 5.6047974
1320, 0.30765334, 5.2097564, 5.5658917
1330, 0.31004754, 5.212749, 5.5257893
1340, 0.31423736, 5.2163405, 5.485088
1350, 0.31663156, 5.222326, 5.4491754
1360, 0.3172301, 5.227114, 5.4096713
1370, 0.3184272, 5.22891, 5.36897
1380, 0.32141992, 5.231304, 5.33186
1390, 0.32441267, 5.2354937, 5.29475
1400, 0.3286025, 5.238487, 5.258837
1410, 0.33039814, 5.2414794, 5.222924
1420, 0.3333909, 5.243275, 5.1822233
1430, 0.33817926, 5.2426763, 5.145113
1440, 0.33817926, 5.2414794, 5.1068063
1451, 0.34057346, 5.243275, 5.068499
1461, 0.341172, 5.2414794, 5.0277977
1471, 0.3399749, 5.2414794, 4.991885
1481, 0.34476328, 5.242078, 4.951184
1491, 0.34715748, 5.240282, 4.9104824
1501, 0.34775603, 5.242078, 4.872774
1511, 0.34596038, 5.240881, 4.82908
1521, 0.34955168, 5.240282, 4.787182
1531, 0.35434005, 5.238487, 4.7494736
1541, 0.35793132, 5.234297, 4.709969
1551, 0.36032552, 5.232501, 4.6698666
1561, 0.36690953, 5.231304, 4.6315594
1571, 0.36990228, 5.22891, 4.591457
1581, 0.37229645, 5.2235227, 4.5537486
1591, 0.3740921, 5.219333, 4.513047
1601, 0.3740921, 5.216939, 4.4783316
1611, 0.37349355, 5.2139463, 4.4400244
1622, 0.372895, 5.210953, 4.4041114
1632, 0.3716979, 5.207362, 4.3628116
1642, 0.37469065, 5.199581, 4.322709
1652, 0.3764863, 5.199581, 4.283205
1662, 0.37947902, 5.192997, 4.246095
1672, 0.37947902, 5.18761, 4.2071896
1682, 0.38307032, 5.1828218, 4.1700797
1692, 0.38366887, 5.1738434, 4.1299767
1702, 0.38546452, 5.166661, 4.095261
1712, 0.3878587, 5.160077, 4.059947
1722, 0.3878587, 5.15469, 4.0204425
1732, 0.3890558, 5.147507, 3.9833326
1742, 0.39085144, 5.1379304, 3.9450257
1752, 0.38845724, 5.1271567, 3.909113
1762, 0.38965434, 5.1205726, 3.8684115
1772, 0.39085144, 5.1115947, 3.8319004
1782, 0.39204854, 5.1014194, 3.7971845
1792, 0.39504126, 5.0912437, 3.7600746
1802, 0.3968369, 5.0792727, 3.722366
1812, 0.3968369, 5.0720906, 3.681665
1822, 0.40042818, 5.0601196, 3.6463506
1832, 0.39982966, 5.0547323, 3.6080434
1842, 0.3968369, 5.046353, 3.5715322
1852, 0.3968369, 5.034382, 3.5302324
1862, 0.398034, 5.021214, 3.494918
1872, 0.39743546, 5.009243, 3.4578083
1882, 0.39623836, 4.997272, 3.418304
1892, 0.3944427, 4.9858994, 3.3823912
1902, 0.39504126, 4.975126, 3.3488724
1912, 0.39504126, 4.963155, 3.3153539
1922, 0.39863256, 4.949388, 3.2818353
1932, 0.40102673, 4.9344244, 3.245324
1942, 0.40222383, 4.921855, 3.2088125
1954, 0.40581512, 4.8919277, 3.1441693
1965, 0.4082093, 4.8799567, 3.1082566
1975, 0.40880784, 4.8673873, 3.0675552
1985, 0.4094064, 4.853022, 3.0316424
1995, 0.4082093, 4.8362627, 2.9999194
2006, 0.40641367, 4.8201017, 2.9652038
2016, 0.40701222, 4.8075323, 2.9352763
2026, 0.40461802, 4.7901745, 2.9059474
2036, 0.40342093, 4.7746124, 2.872429
